algorithm,instance,run,distance,time
Christofides,euclidean_30_2,,570.6822133957771,0.05774849999943399
Nearest Neighbor,euclidean_50_0,,644.8309221590487,0.030857300000207033
2-opt,euclidean_50_0,,593.8155989787608,0.3559713000031479
"Simulated Annealing (T=5000, α=0.99)",euclidean_50_0,,796.6295699891283,0.09800850000101491
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_50_0,,611.9780945043076,6.22984390000056
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_50_0,,631.8266413573167,3.4134468999982346
Christofides,euclidean_50_0,,636.1814196517377,0.1773167999999714
Nearest Neighbor,euclidean_50_1,,587.0859284574054,0.046172300000762334
2-opt,euclidean_50_1,,549.0012475651203,0.26244859999860637
"Simulated Annealing (T=5000, α=0.99)",euclidean_50_1,,615.4822852301842,0.10548819999894476
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_50_1,,560.0413065792088,5.987804000000324
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_50_1,,557.9487386995836,3.5574749000006705
Christofides,euclidean_50_1,,620.0526806056985,0.15333299999838346
Nearest Neighbor,euclidean_50_2,,657.3375291099102,0.03344669999933103
2-opt,euclidean_50_2,,600.4086921950548,0.2927393999998458
"Simulated Annealing (T=5000, α=0.99)",euclidean_50_2,,734.0231647062147,0.10815229999934672
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_50_2,,617.4486519684341,6.138383199999225
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_50_2,,616.6206781727428,3.4504312000026403
Christofides,euclidean_50_2,,661.1827353780345,0.16212409999934607
Nearest Neighbor,euclidean_75_0,,779.7861264859108,0.10247589999926277
2-opt,euclidean_75_0,,725.0306056577635,1.2304817000003823
"Simulated Annealing (T=5000, α=0.99)",euclidean_75_0,,808.2100388937591,0.13839939999888884
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_75_0,,738.549570468255,13.475071800003207
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_75_0,,775.4152236318608,5.604383099998813
Christofides,euclidean_75_0,,758.4936836456357,0.5129242000002705
Nearest Neighbor,euclidean_75_1,,780.9043455067604,0.0960497000014584
2-opt,euclidean_75_1,,717.8994238477891,1.2141268999985186
"Simulated Annealing (T=5000, α=0.99)",euclidean_75_1,,826.7857219297152,0.14801799999986542
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_75_1,,779.473060775836,13.06622889999926
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_75_1,,767.2198795580358,5.606129900002998
Christofides,euclidean_75_1,,800.3171256789198,0.5709609999976237
Nearest Neighbor,euclidean_75_2,,708.4622678744706,0.1080602000001818
2-opt,euclidean_75_2,,694.7316404895421,1.1081319000004441
"Simulated Annealing (T=5000, α=0.99)",euclidean_75_2,,739.0358110582541,0.11533280000003288
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_75_2,,701.7596132518993,12.874811599998793
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_75_2,,708.4622678744702,5.606178899997758
Christofides,euclidean_75_2,,728.2774068000871,0.5389215999966837
Nearest Neighbor,euclidean_100_0,,886.3333749768991,0.2348736000021745
2-opt,euclidean_100_0,,813.0356816084925,2.988017100000434
"Simulated Annealing (T=5000, α=0.99)",euclidean_100_0,,945.878739829299,0.17659180000191554
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_100_0,,873.6610172964525,22.940765800001827
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_100_0,,878.4769089715596,8.592764000000898
Christofides,euclidean_100_0,,894.5312128221022,1.2992020000019693
Nearest Neighbor,euclidean_100_1,,892.8374735110513,0.255565999999817
2-opt,euclidean_100_1,,775.1191868779907,4.038645700002235
"Simulated Annealing (T=5000, α=0.99)",euclidean_100_1,,961.869328868404,0.15393509999921662
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_100_1,,815.9361092004224,23.376079800000298
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_100_1,,879.442622787798,8.809049700001196
Christofides,euclidean_100_1,,838.6605796395373,1.293157299998711
Nearest Neighbor,euclidean_100_2,,901.3897555455145,0.2595093000018096
2-opt,euclidean_100_2,,818.6430275985158,2.6287919000023976
"Simulated Annealing (T=5000, α=0.99)",euclidean_100_2,,998.6153204344472,0.16423840000061318
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_100_2,,866.5784588520216,23.237412099999347
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_100_2,,877.5022668661173,8.288614600001893
Christofides,euclidean_100_2,,859.3231103972531,1.3197612000003573
