algorithm,instance,run,distance,time,structure,size
Nearest Neighbor,cluster_50_2,,1661.7706992558103,0.0233282999979564,cluster,50
2-opt,cluster_50_2,,1628.8386715815864,0.2291526999979396,cluster,50
"Simulated Annealing (T=1000, α=0.98)",cluster_50_2,,2110.2339962419887,0.0356934000010369,cluster,50
"Ant Colony (ants=20, α=1.0, β=3.0)",cluster_50_2,,1651.4547077331213,4.320283099998051,cluster,50
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",cluster_50_2,,1645.7006113953676,1.683871599998383,cluster,50
Christofides,cluster_50_2,,1727.9737709451815,0.1439900000004854,cluster,50
Nearest Neighbor,grid_50_2,,727.2549143307298,0.073850400000083,grid,50
2-opt,grid_50_2,,646.3629627575353,0.8971727000025567,grid,50
"Simulated Annealing (T=1000, α=0.98)",grid_50_2,,770.8620661901004,0.0668779000006907,grid,50
"Ant Colony (ants=20, α=1.0, β=3.0)",grid_50_2,,685.1971029709156,6.991406400000415,grid,50
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",grid_50_2,,708.2846717212042,2.2739400999998907,grid,50
Christofides,grid_50_2,,742.5762601180006,0.3626813000009861,grid,50
Nearest Neighbor,random_50_2,,inf,3.0400002287933603e-05,random,50
2-opt,random_50_2,,inf,5.7100001868093386e-05,random,50
"Simulated Annealing (T=1000, α=0.98)",random_50_2,,inf,9.890000001178124e-05,random,50
"Ant Colony (ants=20, α=1.0, β=3.0)",random_50_2,,inf,0.0001658000001043,random,50
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",random_50_2,,inf,0.0003141000015602,random,50
Christofides,random_50_2,,inf,0.0006500000017695,random,50
