algorithm,instance,run,distance,time,structure
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_3,,261.4884165050686,0.06961179999780143,grid
Christofides,grid_20_3,,265.4580278124224,0.007485199996153824,grid
Branch and Bound,random_20_3,,0.0,1.8200000340584666e-05,random
Nearest Neighbor,random_20_3,,inf,1.0100004146806896e-05,random
2-opt,random_20_3,,inf,4.5900000259280205e-05,random
"Simulated Annealing (T=100, α=0.95)",random_20_3,,inf,3.18000020342879e-05,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_3,,inf,8.320000051753595e-05,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_3,,inf,9.950000094249845e-05,random
Christofides,random_20_3,,inf,0.00014830000145593658,random
Branch and Bound,euclidean_20_4,,542.8414574914368,0.0006097000004956499,euclidean
Nearest Neighbor,euclidean_20_4,,473.62570612465566,0.0008000999951036647,euclidean
2-opt,euclidean_20_4,,433.65668156080875,0.00549190000310773,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_4,,516.8031304373596,0.0025917000020854175,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_4,,424.57079714519773,0.11941120000119554,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_4,,472.5163633893629,0.05916789999901084,euclidean
Christofides,euclidean_20_4,,446.33877604939397,0.0051297000027261674,euclidean
Branch and Bound,cluster_20_4,,1690.8860296789976,0.0006573000064236112,cluster
Nearest Neighbor,cluster_20_4,,1522.721667555968,0.0007958999995025806,cluster
2-opt,cluster_20_4,,1448.170510490805,0.004825900003197603,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_4,,1690.8860296789976,0.0025074000004678965,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_4,,1452.5557083577366,0.12120679999497952,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_4,,1477.8612230482347,0.061434100003680214,cluster
Christofides,cluster_20_4,,1479.976712233143,0.004395299998577684,cluster
Branch and Bound,grid_20_4,,324.7354343583567,0.0015363999991677701,grid
Nearest Neighbor,grid_20_4,,280.2238568820029,0.001417599996784702,grid
2-opt,grid_20_4,,249.80068232806474,0.008519499999238178,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_4,,305.72211804295887,0.0028846000059274957,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_4,,261.21487392105183,0.18549519999942277,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_4,,257.0844672839897,0.06806700000015553,grid
Christofides,grid_20_4,,276.5361271886078,0.008048100004089065,grid
Branch and Bound,random_20_4,,0.0,1.599999814061448e-05,random
Nearest Neighbor,random_20_4,,inf,1.1299998732283711e-05,random
2-opt,random_20_4,,inf,1.8800004909280688e-05,random
"Simulated Annealing (T=100, α=0.95)",random_20_4,,inf,2.800000220304355e-05,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_4,,inf,2.7800000680144876e-05,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_4,,inf,5.800000508315861e-05,random
Christofides,random_20_4,,inf,0.00012939999578520656,random
