algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,structure
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_3,400.50906599899105,400.50906599899105,400.50906599899105,,0.05637900000147056,0.05637900000147056,0.05637900000147056,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_4,472.5163633893629,472.5163633893629,472.5163633893629,,0.05916789999901084,0.05916789999901084,0.05916789999901084,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_0,256.6983390900423,256.6983390900423,256.6983390900423,,0.06930480000301031,0.06930480000301031,0.06930480000301031,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_1,257.752800768148,257.752800768148,257.752800768148,,0.06524200000421843,0.06524200000421843,0.06524200000421843,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_2,309.0740368385044,309.0740368385044,309.0740368385044,,0.06867369999963557,0.06867369999963557,0.06867369999963557,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_3,261.4884165050686,261.4884165050686,261.4884165050686,,0.06961179999780143,0.06961179999780143,0.06961179999780143,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_4,257.0844672839897,257.0844672839897,257.0844672839897,,0.06806700000015553,0.06806700000015553,0.06806700000015553,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_0,inf,inf,inf,,6.130000110715628e-05,6.130000110715628e-05,6.130000110715628e-05,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_1,inf,inf,inf,,9.280000085709617e-05,9.280000085709617e-05,9.280000085709617e-05,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_2,inf,inf,inf,,5.619999865302816e-05,5.619999865302816e-05,5.619999865302816e-05,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_3,inf,inf,inf,,9.950000094249845e-05,9.950000094249845e-05,9.950000094249845e-05,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_4,inf,inf,inf,,5.800000508315861e-05,5.800000508315861e-05,5.800000508315861e-05,,random
Nearest Neighbor,cluster_20_0,1470.4686726191155,1470.4686726191155,1470.4686726191155,,0.0008409000001847744,0.0008409000001847744,0.0008409000001847744,,cluster
Nearest Neighbor,cluster_20_1,1310.6513886279001,1310.6513886279001,1310.6513886279001,,0.0010143000035895966,0.0010143000035895966,0.0010143000035895966,,cluster
Nearest Neighbor,cluster_20_2,1512.846812734228,1512.846812734228,1512.846812734228,,0.0007905999955255538,0.0007905999955255538,0.0007905999955255538,,cluster
Nearest Neighbor,cluster_20_3,1560.4413992441898,1560.4413992441898,1560.4413992441898,,0.0007330000007641502,0.0007330000007641502,0.0007330000007641502,,cluster
Nearest Neighbor,cluster_20_4,1522.721667555968,1522.721667555968,1522.721667555968,,0.0007958999995025806,0.0007958999995025806,0.0007958999995025806,,cluster
Nearest Neighbor,euclidean_20_0,415.9605886815217,415.9605886815217,415.9605886815217,,0.0009082000033231452,0.0009082000033231452,0.0009082000033231452,,euclidean
Nearest Neighbor,euclidean_20_1,322.5669530619588,322.5669530619588,322.5669530619588,,0.0008718999961274676,0.0008718999961274676,0.0008718999961274676,,euclidean
